canonical_brand,aliases
#HASH,HASH
#Juan-Roll,JUAN-ROLL | #Juan | #JUAN-ROLL
1 Off,
1906,
1937,
1937-2,
1SLICE,
5 Boro,5-Boro | 5 BORO | 5 Boro-7
6 Points Cannabis,6 Point Cannabis
716 Sticky,
A Walk In The Pines,
ADK Hemp Co,
Aeterna,Aeterna Cannabis
Akron Bloom,
Alchemy Pure,Alchemey Pure
Alibi,ALIBI
Alien Labs,
All That Chocolate,All that Chocolate
Alpine Agronomy,Alpine Agonomy
Alter Ego Edibles,
American Donut Maker,American Donut Makers
American Hash Makers,American Hash Maker | American Hash Makers-6
Amnesia,
Animal House,
Anthem,
Aphrodite,
Apollo,
Ayrloom,ayrloom | AYRLOOM | Ayrloom-2
B-Side,B-Side Cannabis | B Side Cannabis
Back Home Cannabis Co.,Back Home Cannabis | Back Home Farms
Binske,BINSKE
Bison Botanics,BISON | Bison Botanincs
Blossom Buffalo,
Blotter,BLOTTER
Bob Marley,BOB MARLEY
Bodega Boys,BODEGA BOYZ
Bonanza,
Booty Shake,Booty Shake-4
Bouket,BOUKET | Bouket-2
Boutiq,BOUTIQ
Brass Knuckles,BRASS KNUCKLES
BudJet,
Buff Puff,BuffPuff
Calamity Jane,
CAM,
Camino,Camino Sours
Canna Cure,
Canna Dots,
Cannabaceae,
Cannabals,CANNABALS
Cannaspace,
Cheetah,CHEETAH
Cheevo,
Circle Hill,Circle Hill Farm | Circle Hill Rosin
Connected,
Cosmos!,Cosmos
Crown Genetics,
CRU,CRU-8
Dank,
Dark Star,DARK STAR
DKC,
Doja,
Donut,
Dr. Jekyll & Mr. High,Dr. Jekyll and Mr. High-3
Ducksauce,
Eaton,EATON | EATON BOTANICALS | Eaton Botanicals
Edie Parker,EDIE PARKER
Empire,
Empire Cannabis,EMPIRE CANNABIS | Empire Cannabis-6
Empire Hemp Co,Empire Hemp Co.
EUREKA,Eureka
Farmer Jim's,Farmer Jim’s | Farmer Jim
Fernway,FERNWAY | Fernway-1
Finca,
Find,FIND | Find.
Florette,
Florist Farms,FLORIST FARMS | Florist Farms-3
Flwr City,FLWR City
Friends with Flower,Friends with Flower-6
Geek THCX,GEEK THCX
Generic AF,GENERIC AF
Gentleman Smugglers,Gentleman Smugglers-7
Glennas,
GOAT,GOAT-6
Golden Gardens,Golden Garden
Good Green,
Good Tide,Good Tide-1
GoodLyfe,GOODLYFE
Goodness,Goodness-3 | I Am Goodness | I am Goodness
Grams,
Grassroots,GRASSROOTS-DARK HEART-
Green Revolution,
Green Room Cannabis,
Green Spectrum,
Greenside Cannabis,Greenside
Grocery,grocery
Grow 716,Grow716
Grön,Gron
GS Kingpin,
Harney Brothers,Harney Bros
Hashtag Honey,HashTag Honey
Head & Heal,Head and Heel
Heady Tree,
Heavy Hitters,
Hepworth,HEPWORTH | Hepworth-4
Her Highness,
Herb,HERB
